Name,Version,Date,Sha256 
Ubuntu Server,17.10,2017-10-19,ffb9f5a90c9a9a8e77f0826d6358d4d096edf60a74d0a216f995236ccd052a28
Ubuntu Server,18.04,2018-04-26,6c647b1ab4318e8c560d5748f908e108be654bad1e165f7cf4f3c1fc43995934
Ubuntu Server,18.10,2018-10-18,7b9f670c749f797a0f7481d619ce8807edac052c97e1a0df3b130c95efae4765
Ubuntu Server,19.04,2019-04-18,25d483341ccd0d522a6660b00db933787c86c47b42f1845bcf997127f4b61e9d
Ubuntu Server,19.10,2019-10-17,3fe242f4b330ead8191b3c200bcf1d8d3be4243d62fe6b866a778499370c9dbb
Ubuntu Server,20.04,2020-04-23,b8f31413336b9393ad5d8ef0282717b2ab19f007df2e9ed5196c13d8f9153c8b
Ubuntu Server,20.10,2020-10-22,defdc1ad3af7b661fe2b4ee861fb6fdb5f52039389ef56da6efc05e6adfe3d45
Ubuntu Server,21.04,2021-04-22,e4089c47104375b59951bad6c7b3ee5d9f6d80bfac4597e43a716bb8f5c1f3b0
Ubuntu Server,21.10,2021-10-14,e84f546dfc6743f24e8b1e15db9cc2d2c698ec57d9adfb852971772d1ce692d4
Ubuntu Server,22.04,2022-04-21,9bc6028870aef3f74f4e16b900008179e78b130e6b0b9a140635434a46aa98b0
Ubuntu Server,22.10,2022-10-20,874452797430a94ca240c95d8503035aa145bd03ef7d84f9b23b78f3c5099aed
Ubuntu Server,23.04,2023-04-20,234679ceda05858dbf3a99bcfc2d2337b6bb87dced9cf0e5e4af116f7417dd1b
Ubuntu Server,23.10,2023-10-12,5e431c47de6c0616eae6d0db9ab1a3e75b95f848e99e9a8ef4165888e5fe18c2
Ubuntu Server,24.04,2024-04-25,d6dab0c3a657988501b4bd76f1297c053df710e06e0c3aece60dead24f270b4d
