Name,Version,Date,Sha256
Ubuntu,12.04,2012-04-26,eca367bb12f7bf197cfb2ab4835ac073b9ed902a8c37c075c28dd6b9f0e4bb55
Ubuntu,12.10,2012-10-18,256a2cc652ec86ff366907fd7b878e577b631cc6c6533368c615913296069d80
Ubuntu,13.04,2013-04-25,b4b20e0293c2305e83a60c605d39cabf43115794d574c68f1492d49fee0ab3d8
Ubuntu,13.10,2013-10-17,369a1f604df30e097f063829b27c39941a26e5771c53b35aa9ea0e0e0abb3a56
Ubuntu,14.04,2014-04-17,bcc02554c37d438545658be7964e1bc05bdb11289ae16bfbf94626b80d42656f
Ubuntu,14.10,2014-10-23,c753dbdf665a77e466f07b8f040af00111d609352484a5a915df82e66dd0d163
Ubuntu,15.04,2015-04-23,a3cfac5c32b217db2cab43f261dcbe2cc546d99ca23e113312fedb78733aef6b
Ubuntu,15.10,2015-10-22,cc991993e3d9f57f27199877ac416157228fe6896212968d6e8c5aebd74e7ab0
Ubuntu,16.04,2016-04-21,8ba7e2687fb8a2152504475e92e489aace543059fd4ba7ffe10111c42394853b
Ubuntu,16.10,2016-10-13,4405c37d61b5cac6c89eaf379c035058ed7db8594abd209337276c7c4556787e
Ubuntu,17.04,2017-04-13,b718c7fb1066589af52f4ba191775b0fb514c5fb6fa7d91367043e1db06d8a0b
Ubuntu,17.10,2017-10-19,1a3d2d32ada795e5df47293745a7479bcb3e4e29d8ee1eaa114350b691cf38d3
Ubuntu,18.04,2018-04-26,f730be589aa1ba923ebe6eca573fa66d09ba14c4c104da2c329df652d42aff11
Ubuntu,18.10,2018-10-18,818affdaea8d38bbbe620009bfa788a7cbc583c7c61c2d278f61dd3c43e030a0
Ubuntu,19.04,2019-04-18,2da6f8b5c65b71b040c5c510311eae1798545b8ba801c9b63e9e3fd3c0457cbe
Ubuntu,19.10,2019-10-17,96a8095001d447bbb9078925d72f7a77a3f62fbd78460093759af4394ce83d79
Ubuntu,20.04,2020-04-23,510ce77afcb9537f198bc7daa0e5b503b6e67aaed68146943c231baeaab94df1
Ubuntu,20.10,2020-10-22,3ef833828009fb69d5c584f3701d6946f89fa304757b7947e792f9491caa270e
Ubuntu,21.04,2021-04-22,fa95fb748b34d470a7cfa5e3c1c8fa1163e2dc340cd5a60f7ece9dc963ecdf88
Ubuntu,21.10,2021-10-14,f8d3ab0faeaecb5d26628ae1aa21c9a13e0a242c381aa08157db8624d574b830
Ubuntu,22.04,2022-04-21,bfd1cee02bc4f35db939e69b934ba49a39a378797ce9aee20f6e3e3e728fefbf
Ubuntu,22.10,2022-10-20,b98f13cd86839e70cb7757d46840230496b3febea309dd73bd5f81383474e47b
Ubuntu,23.04,2023-04-20,44caf973bcd5bb0436ed402d3794d71bf262f2f5ed105937efa9ecf66eacd974
Ubuntu,23.10,2023-10-12,a124395732aba12098417e5fd65eee019d0d2e0b47d005b965036456f9f52ef7
Ubuntu,24.04,2024-04-25,d7fe3d6a0419667d2f8eff12796996328daa2d4f90cd9f87aa9371b362f987bf
